nameTeam,slugTeam,urlTeamSalaryHoopsHype,X2020-21,X2021-22,X2022-23,X2023-24,X2024-25,X2025-26
"Atlanta Hawks",ATL,http://hoopshype.com/salaries/atlanta_hawks/,118647039.0,95496087.0,59656896.0,18000000.0,0.0,0.0
"Boston Celtics",BOS,http://hoopshype.com/salaries/boston_celtics/,132032864.0,132077647.0,95626895.0,62027548.0,34844000.0,37092000.0
"Brooklyn Nets",BKN,http://hoopshype.com/salaries/brooklyn_nets/,168854452.0,165982367.0,157168219.0,19928571.0,0.0,0.0
"Charlotte Hornets",CHA,http://hoopshype.com/salaries/charlotte_hornets/,108218809.0,83125939.0,44614401.0,31500000.0,0.0,0.0
"Chicago Bulls",CHI,http://hoopshype.com/salaries/chicago_bulls/,128963580.0,96304124.0,22000000.0,0.0,0.0,0.0
"Cleveland Cavaliers",CLE,http://hoopshype.com/salaries/cleveland_cavaliers/,128629143.0,90652433.0,46041645.0,6718842.0,0.0,0.0
"Dallas Mavericks",DAL,http://hoopshype.com/salaries/dallas_mavericks/,127507823.0,84970945.0,59071146.0,36016200.0,0.0,0.0
"Denver Nuggets",DEN,http://hoopshype.com/salaries/denver_nuggets/,129184135.0,125136013.0,74392370.0,43634326.0,36016200.0,0.0
"Detroit Pistons",DET,http://hoopshype.com/salaries/detroit_pistons/,116973878.0,103380107.0,35197488.0,2866667.0,2866667.0,0.0
"Golden State Warriors",GSW,http://hoopshype.com/salaries/golden_state_warriors/,170467299.0,160106508.0,101953999.0,70805664.0,0.0,0.0
"Houston Rockets",HOU,http://hoopshype.com/salaries/houston_rockets/,132836984.0,92796702.0,90368533.0,22848583.0,0.0,0.0
"Indiana Pacers",IND,http://hoopshype.com/salaries/indiana_pacers/,129408812.0,116253392.0,84188736.0,19400000.0,0.0,0.0
"Los Angeles Clippers",LAC,http://hoopshype.com/salaries/los_angeles_clippers/,138604159.0,144294736.0,80128634.0,77520080.0,48787763.0,0.0
"Los Angeles Lakers",LAL,http://hoopshype.com/salaries/los_angeles_lakers/,138326578.0,119994657.0,109460411.0,53600080.0,43219440.0,0.0
"Memphis Grizzlies",MEM,http://hoopshype.com/salaries/memphis_grizzlies/,131564083.0,87045462.0,25732621.0,10400000.0,0.0,0.0
"Miami Heat",MIA,http://hoopshype.com/salaries/miami_heat/,134303159.0,77828964.0,68001300.0,32596000.0,34844000.0,37092000.0
"Milwaukee Bucks",MIL,http://hoopshype.com/salaries/milwaukee_bucks/,135289205.0,143531830.0,135507831.0,122050499.0,87285253.0,51928800.0
"Minnesota Timberwolves",MIN,http://hoopshype.com/salaries/minnesota_timberwolves/,130280289.0,131265754.0,88301065.0,36016200.0,0.0,0.0
"New Orleans Pelicans",NOP,http://hoopshype.com/salaries/new_orleans_pelicans/,133689123.0,91418170.0,68952429.0,33833400.0,36016200.0,0.0
"New York Knicks",NYK,http://hoopshype.com/salaries/new_york_knicks/,97613692.0,48017364.0,0.0,0.0,0.0,0.0
"Oklahoma City Thunder",OKC,http://hoopshype.com/salaries/oklahoma_city_thunder/,91599911.0,49837674.0,35107300.0,1930681.0,0.0,0.0
"Orlando Magic",ORL,http://hoopshype.com/salaries/orlando_magic/,121651624.0,101547799.0,45400000.0,34400000.0,17400000.0,0.0
"Philadelphia 76ers",PHI,http://hoopshype.com/salaries/philadelphia_76ers/,147401509.0,129159871.0,118760387.0,77163558.0,40338144.0,0.0
"Phoenix Suns",PHO,http://hoopshype.com/salaries/phoenix_suns/,128858241.0,124828321.0,57182200.0,36016200.0,0.0,0.0
"Portland Trail Blazers",POR,http://hoopshype.com/salaries/portland_trail_blazers/,131426055.0,131543365.0,83427762.0,86552469.0,54250000.0,0.0
"Sacramento Kings",SAC,http://hoopshype.com/salaries/sacramento_kings/,105952605.0,100041976.0,69723001.0,51664183.0,34844000.0,37092000.0
"San Antonio Spurs",SAS,http://hoopshype.com/salaries/san_antonio_spurs/,127903078.0,58174145.0,46555606.0,35821143.0,19321429.0,0.0
"Toronto Raptors",TOR,http://hoopshype.com/salaries/toronto_raptors/,128541542.0,88847935.0,74055815.0,79360339.0,19928571.0,0.0
"Utah Jazz",UTA,http://hoopshype.com/salaries/utah_jazz/,136048278.0,130397746.0,120253320.0,96775040.0,78050560.0,83086080.0
"Washington Wizards",WAS,http://hoopshype.com/salaries/washington_wizards/,131265055.0,120309003.0,100325777.0,17000000.0,16000000.0,0.0
